"","GUID","Population","Collector_ID","Sex","Generation","Line_ID","Mother_Line","Father_Line","Midparent_ID","Sample_ID","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"22","NA","Brazil","FMM434","Male","N2","255x193",255,193,"255x193_A1xA8","A8",165,80,20,15,15.8,85,275,NA
"23","NA","Brazil","FMM439","Male","N2","261x239",261,239,"261x239_B5xB6","B6",179,87,18,15,31.7,92,359,NA
"24","NA","Brazil","FMM445","Male","N2","209x208",209,208,"209x208_A1xA2","A2",183,92,17,13,15.6,91,240,NA
"25","NA","Brazil","FMM452","Male","N2","228x238",238,228,"238x228_A1xA2","A2",172,82,16,14,15.1,90,183,NA
"26","NA","Brazil","FMM454","Male","N2","222x254",254,222,"222x254_A5xA6","A6",183,88,17,14,21.3,95,147,NA
"27","NA","Brazil","FMM531","Male","N2","250x247",250,247,"250x247_A1xA2","A2",172,82,18,14,18.2,90,180,NA
"28","NA","Brazil","FMM543","Male","N2","260x220",260,220,"260x220_A1xA2","A2",178,82,19,14,24.4,96,222,NA
"29","NA","Brazil","FMM630","Male","N2","224x225",224,225,"224x225_A1xA2","A2",157,75,18,13,15.3,82,872,NA
"30","NA","New York","MJS159","Female","N2","66x67",66,67,"66x67_B1xB2","B1",164,78,18,14,15.5,86,135,NA
"31","NA","New York","MJS218","Female","N2","92x91",92,91,"92x91_B1xB?","B1",182,86,18,15,29.4,96,303,NA
"32","NA","New York","MJS225","Female","N2","9x11",9,11,"9x11_C3xC2","C3",176,75,19,14,20.3,101,NA,NA
"33","NA","New York","MJS226","Female","N2","82x81",82,81,"82x81_C11xC4","C11",179,80,19,20,21.8,99,184,NA
"34","NA","New York","MJS228","Female","N2","92x91",92,91,"92x91_A3xA2","A3",182,86,19,16,21,96,256,NA
"35","NA","New York","MJS231","Female","N2","34x38",34,38,"34x38_C9xC4","C9",165,76,19,14,18.6,89,135,NA
"36","NA","New York","MJS235","Female","N2","44x42",44,42,"44x42_A1xA2","A1",176,88,20,14,26.4,88,314,NA
"37","NA","New York","MJS236","Female","N2","9x11",9,11,"9x11_A3xA4","A3",155,70,18,13,18.3,85,234,NA
"38","NA","New York","MJS238","Female","N2","83x80",83,80,"83x80_A?xA8","A?",162,80,17,15,24.1,82,293,NA
